GEOID,County,State,hhincome,pop,medage,White,Black,Native,Asian
72047,Corozal Municipio, Puerto Rico,14752,34933,38.1,28500,2097,0,0
72095,Maunabo Municipio, Puerto Rico,17636,11297,43.5,3795,7042,10,0
72111,Peñuelas Municipio, Puerto Rico,16868,21661,36.4,16967,755,29,35
72113,Ponce Municipio, Puerto Rico,16561,148863,39.5,117164,7493,211,148
72131,San Sebastián Municipio, Puerto Rico,14275,38970,42,28075,996,0,97
72135,Toa Alta Municipio, Puerto Rico,29672,74169,37.1,57375,5412,291,296
72137,Toa Baja Municipio, Puerto Rico,24583,81905,38.9,47902,7712,116,9
72147,Vieques Municipio, Puerto Rico,16261,8931,41.4,4812,812,12,162
72151,Yabucoa Municipio, Puerto Rico,15586,35025,41.6,14950,17751,89,11
72003,Aguada Municipio, Puerto Rico,16199,39470,41,26408,1092,0,0
72025,Caguas Municipio, Puerto Rico,24229,134269,39.7,102063,11049,320,457
72029,Canóvanas Municipio, Puerto Rico,19986,46779,39,23494,5446,0,116
72041,Cidra Municipio, Puerto Rico,20389,41181,38.7,34510,3068,117,72
72043,Coamo Municipio, Puerto Rico,19110,39796,39.4,26183,8496,0,0
72051,Dorado Municipio, Puerto Rico,29354,37722,39.5,29639,4833,0,47
72089,Luquillo Municipio, Puerto Rico,19377,18952,39.8,11385,1705,24,61
72019,Barranquitas Municipio, Puerto Rico,15694,29237,35.5,25681,1264,0,0
72107,Orocovis Municipio, Puerto Rico,14296,21906,37.9,18754,598,0,0
72129,San Lorenzo Municipio, Puerto Rico,18589,38689,40.2,33650,2642,43,22
72011,Añasco Municipio, Puerto Rico,18765,27892,41.3,17202,845,0,0
72037,Ceiba Municipio, Puerto Rico,18998,12238,40.9,7689,1135,9,54
72039,Ciales Municipio, Puerto Rico,14432,17325,40.5,16644,145,0,0
72045,Comerío Municipio, Puerto Rico,13523,19914,38.1,15882,1633,65,18
72071,Isabela Municipio, Puerto Rico,16333,43314,40.8,30785,2155,98,0
72073,Jayuya Municipio, Puerto Rico,15615,15297,36.3,12907,116,47,4
72081,Lares Municipio, Puerto Rico,12820,27321,41.1,19426,154,12,0
72085,Las Piedras Municipio, Puerto Rico,20587,38253,38.1,18889,18256,0,0
72119,Río Grande Municipio, Puerto Rico,22584,51768,40.2,27326,6878,57,166
72127,San Juan Municipio, Puerto Rico,21677,355181,41.8,248912,44717,1544,1428
72143,Vega Alta Municipio, Puerto Rico,18053,38589,37.8,30550,4090,34,103
72145,Vega Baja Municipio, Puerto Rico,18900,54754,40.1,48319,2431,83,20
72093,Maricao Municipio, Puerto Rico,13462,6180,42.7,3009,160,22,0
72009,Aibonito Municipio, Puerto Rico,18387,24008,40.7,19292,2000,13,52
72059,Guayanilla Municipio, Puerto Rico,14988,19578,40.3,15842,416,128,61
72077,Juncos Municipio, Puerto Rico,18533,39704,37.6,22814,1850,25,83
72079,Lajas Municipio, Puerto Rico,13896,23893,43.4,11455,240,43,0
72121,Sabana Grande Municipio, Puerto Rico,15736,23610,40.9,17384,704,0,0
72001,Adjuntas Municipio, Puerto Rico,11680,18525,39.5,14396,120,17,0
72027,Camuy Municipio, Puerto Rico,17579,32936,40.1,26089,652,34,0
72055,Guánica Municipio, Puerto Rico,12653,17327,41.4,12204,472,19,0
72067,Hormigueros Municipio, Puerto Rico,19674,16474,45.1,6122,486,0,43
72091,Manatí Municipio, Puerto Rico,18191,40705,40.9,34736,1574,41,14
72103,Naguabo Municipio, Puerto Rico,18976,26584,37,17040,1104,0,121
72105,Naranjito Municipio, Puerto Rico,18069,29112,38.7,24364,1691,11,0
72125,San Germán Municipio, Puerto Rico,15036,32937,42.7,21930,772,32,0
72141,Utuado Municipio, Puerto Rico,15931,30209,41.7,21865,619,50,294
72013,Arecibo Municipio, Puerto Rico,17289,89550,41.4,76382,3858,341,715
72015,Arroyo Municipio, Puerto Rico,15689,18504,38.7,10730,3983,0,0
72033,Cataño Municipio, Puerto Rico,18663,25595,39.1,16298,2598,16,110
72054,Florida Municipio, Puerto Rico,16919,12140,38.2,11056,229,0,26
72065,Hatillo Municipio, Puerto Rico,17770,40978,40.7,40074,258,0,16
72069,Humacao Municipio, Puerto Rico,18735,54736,41.3,31444,8483,79,409
72075,Juana Díaz Municipio, Puerto Rico,20228,47952,37.5,21952,4180,38,107
72101,Morovis Municipio, Puerto Rico,18739,31785,37,29782,420,39,29
72097,Mayagüez Municipio, Puerto Rico,14642,79615,39.9,29400,3226,222,34
72133,Santa Isabel Municipio, Puerto Rico,16816,22475,37.2,12539,6295,25,0
72139,Trujillo Alto Municipio, Puerto Rico,31202,69478,39.3,56303,6281,85,0
72115,Quebradillas Municipio, Puerto Rico,16082,24548,39.3,19559,1187,66,27
72057,Guayama Municipio, Puerto Rico,15296,42623,37.5,31543,5593,0,95
72099,Moca Municipio, Puerto Rico,13413,37676,38.6,27169,1232,97,60
72049,Culebra Municipio, Puerto Rico,23355,1494,39.3,743,74,5,15
72063,Gurabo Municipio, Puerto Rico,32625,47074,38.3,30910,6114,43,69
72123,Salinas Municipio, Puerto Rico,16246,29239,38.4,16612,7888,64,129
72017,Barceloneta Municipio, Puerto Rico,17113,24583,38.7,21755,720,0,90
72087,Loíza Municipio, Puerto Rico,17273,27242,37.5,6424,10042,38,73
72153,Yauco Municipio, Puerto Rico,14451,37585,42.1,30476,1299,164,5
72061,Guaynabo Municipio, Puerto Rico,34060,90773,42.7,70941,5198,284,64
72005,Aguadilla Municipio, Puerto Rico,16821,55722,40.6,39551,2052,131,580
