COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,AH04E001,AH04E002,AH04E003,AH04E004,AH04E005,AH04E006,AH04E007,AH04E008,AH04E009,AH04E010,AH04E011,AH04E012,AH04E013,AH04E014,AH04E015,AH04E016,AH04E017,AH04E018,AH04E019,AH04E020,AH04E021,AH04E022,AH04E023,AH04E024,AH04E025,AH04M001,AH04M002,AH04M003,AH04M004,AH04M005,AH04M006,AH04M007,AH04M008,AH04M009,AH04M010,AH04M011,AH04M012,AH04M013,AH04M014,AH04M015,AH04M016,AH04M017,AH04M018,AH04M019,AH04M020,AH04M021,AH04M022,AH04M023,AH04M024,AH04M025,STATEA,COUNTYA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36757,324,0,0,19,0,37,24,3,186,170,326,917,801,1043,671,10226,2137,2572,5321,2804,5316,3058,426,376,117,108,27,27,21,27,29,42,8,117,111,133,224,186,249,156,770,388,331,521,362,473,457,216,179,01,001
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143022,1131,13,51,0,0,115,102,138,439,418,1266,2074,3331,2789,2130,32709,7062,9207,22319,13760,29237,10714,2885,1132,201,279,20,58,27,27,93,70,75,191,161,307,511,552,506,354,1507,760,891,1210,1123,1509,778,486,245,01,003
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18434,342,13,17,7,30,117,52,56,178,229,531,744,1003,1005,636,5103,1446,1244,2110,1353,1403,656,90,69,72,106,20,23,15,34,66,41,36,67,98,110,154,174,166,146,354,153,174,257,207,184,148,37,38,01,005
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15859,196,0,0,0,18,27,4,10,159,180,293,520,585,705,136,5581,1377,773,2367,831,1289,617,92,99,173,108,21,21,21,25,28,10,16,91,88,115,170,158,210,83,556,226,252,323,223,367,190,66,105,01,007
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39475,699,0,2,0,50,30,116,164,704,230,898,1118,1759,1303,907,10553,2187,3162,5469,4952,3416,1378,216,162,120,165,27,5,27,39,26,110,104,184,94,216,240,337,276,193,569,285,403,448,467,421,213,98,74,01,009
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7377,75,0,0,0,0,13,0,28,5,118,92,139,321,671,651,2336,363,198,1059,318,485,334,115,56,176,60,18,18,18,18,19,18,36,10,80,72,78,145,210,202,399,153,83,239,148,178,125,79,60,01,011
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13958,285,0,0,10,3,62,31,24,119,114,256,387,350,615,389,4862,775,541,1783,1099,1342,667,132,112,24,117,21,21,19,4,71,38,29,53,62,89,113,121,180,122,357,145,138,214,220,242,113,57,53,01,013
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78975,942,19,13,0,21,99,134,185,502,735,1295,2122,3017,2729,1441,20453,4987,5880,14458,5830,8092,4284,997,740,120,197,30,21,27,31,45,91,92,185,186,242,356,393,418,229,1071,495,536,745,500,639,472,205,180,01,015
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23698,437,0,0,43,0,71,41,74,154,188,428,812,1026,808,455,7346,1763,1374,3735,1785,2131,713,273,41,144,153,24,24,49,24,61,36,76,84,78,171,207,212,158,162,476,241,216,351,288,300,153,113,33,01,017
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18797,312,0,0,15,0,11,12,110,225,247,394,668,751,805,300,5942,1237,1203,2719,1502,1237,710,280,117,107,114,21,21,23,21,17,19,92,107,114,143,198,212,210,90,447,254,213,328,226,248,166,114,69,01,019
