ID,medgrossrent,medhousingv
17001,612,120200
17003,465,53200
17005,668,115200
17007,852,145700
17009,577,88600
17011,666,106800
17013,600,110900
17015,616,99400
17017,597,76800
17019,850,154800
17021,632,87500
17023,669,87400
17025,529,77200
17027,783,142900
17029,643,93800
17031,1044,227400
17033,605,82900
17035,560,94000
17037,887,166800
17039,562,98000
17041,674,102700
17043,1224,289900
17045,608,80000
17047,487,73500
17049,610,137300
17051,612,84000
17053,629,100600
17055,625,69900
17057,631,84800
17059,411,71500
17061,588,76900
17063,971,188300
17065,581,91500
17067,621,85100
17069,352,63200
17071,584,88100
17073,624,115800
17075,632,96800
17077,665,108600
17079,568,99000
17081,623,92700
17083,613,135400
17085,653,143300
17087,620,96600
17089,1080,223400
17091,851,140100
17093,1249,214700
17095,600,81700
17097,1127,251400
17099,736,126100
17101,608,72400
17103,695,116500
17105,655,109500
17107,683,101300
17109,630,94600
17111,1146,212600
17113,811,163800
17115,666,95900
17117,658,98400
17119,796,130200
17121,610,71900
17123,636,103300
17125,615,81000
17127,714,82500
17129,702,132500
17131,622,105100
17133,827,195500
17135,627,81000
17137,680,103400
17139,617,107500
17141,712,139900
17143,756,128000
17145,552,80500
17147,779,128100
17149,542,74700
17151,407,84100
17153,525,63500
17155,645,120800
17157,643,99900
17159,544,83200
17161,692,115600
17163,824,122600
17165,584,70500
17167,779,136100
17169,608,83400
17171,543,87500
17173,553,86800
17175,596,85600
17177,634,97700
17179,719,137300
17181,517,98600
17183,657,75900
17185,586,79000
17187,589,83900
17189,640,108100
17191,582,78600
17193,545,69700
17195,673,102200
17197,1112,216400
17199,697,106400
17201,753,115900
17203,759,160300
